Player,College,Height,Weight,College_Rec,College_Yards,College_TDs,YPG,Scenario,Draft_Round,RF_Pred_AV,XGB_Pred_AV,Avg_Pred_AV,Production_Score
C.J. Williams,Stanford,73.0,205.0,55.0,635.0,9.0,52.9,Round 1 (Elite Picks 1-32),1,5.1,4.0,4.6,67.3
Donovan Faupel,New Mexico State,73.0,195.0,51.0,548.0,8.0,60.9,Round 1 (Elite Picks 1-32),1,6.3,4.1,5.2,67.23
Leland Smith,San José State,76.0,215.0,42.0,650.0,9.0,59.1,Round 1 (Elite Picks 1-32),1,5.0,4.0,4.5,66.65
Marcus Sanders Jr.,Georgia Southern,73.0,190.0,46.0,677.0,10.0,52.1,Round 1 (Elite Picks 1-32),1,12.7,7.9,10.3,66.62
De'Zhaun Stribling,Ole Miss,74.0,200.0,51.0,722.0,10.0,48.1,Round 1 (Elite Picks 1-32),1,14.6,5.3,10.0,66.57
Nick Marsh,Michigan State,75.0,203.0,54.0,625.0,9.0,52.1,Round 1 (Elite Picks 1-32),1,9.0,6.8,7.9,66.5
Ja'Cory Thomas,Old Dominion,75.0,210.0,39.0,673.0,10.0,56.1,Round 1 (Elite Picks 1-32),1,5.6,4.0,4.8,66.48
Jordan Dwyer,TCU,72.0,195.0,51.0,626.0,9.0,52.2,Round 1 (Elite Picks 1-32),1,15.1,5.3,10.2,65.66
Javen Nicholas,Charlotte,69.0,190.0,53.0,613.0,9.0,51.1,Round 1 (Elite Picks 1-32),1,8.2,4.5,6.4,65.58
Ashtyn Hawkins,Baylor,70.0,168.0,52.0,616.0,9.0,51.3,Round 1 (Elite Picks 1-32),1,12.7,8.9,10.8,65.41
Michael Jackson III,Purdue,72.0,205.0,63.0,576.0,8.0,48.0,Round 1 (Elite Picks 1-32),1,29.2,21.0,25.1,64.66
Marcel Williams,Akron,71.0,185.0,43.0,599.0,9.0,54.5,Round 1 (Elite Picks 1-32),1,46.2,29.6,37.9,64.14
Reggie Virgil,Texas Tech,75.0,190.0,53.0,658.0,9.0,47.0,Round 1 (Elite Picks 1-32),1,14.6,5.3,10.0,63.98
Josiah Freeman,Fresno State,75.0,196.0,50.0,596.0,9.0,49.7,Round 1 (Elite Picks 1-32),1,6.7,4.1,5.4,63.81
Caullin Lacy,Louisville,70.0,190.0,57.0,592.0,8.0,49.3,Round 1 (Elite Picks 1-32),1,47.2,29.6,38.4,63.669999999999995
Cam Ross,Virginia,70.0,186.0,52.0,577.0,8.0,52.5,Round 1 (Elite Picks 1-32),1,29.3,24.1,26.7,63.620000000000005
Jaden Barnes,App State,68.0,170.0,51.0,523.0,7.0,58.1,Round 1 (Elite Picks 1-32),1,7.4,4.1,5.8,63.58
Christian Moss,Kennesaw State,75.0,199.0,41.0,643.0,9.0,53.6,Round 1 (Elite Picks 1-32),1,14.8,5.3,10.0,63.53
Eric Rivers,Georgia Tech,71.0,180.0,43.0,631.0,9.0,52.6,Round 1 (Elite Picks 1-32),1,14.6,5.3,10.0,63.510000000000005
Kendrick Law,Kentucky,72.0,205.0,52.0,569.0,8.0,51.7,Round 1 (Elite Picks 1-32),1,16.1,5.3,10.7,63.14
Nyziah Hunter,Nebraska,73.0,205.0,43.0,617.0,9.0,51.4,Round 1 (Elite Picks 1-32),1,7.2,6.8,7.0,62.769999999999996
Javon Robinson,Georgia State,67.0,155.0,54.0,585.0,8.0,48.8,Round 1 (Elite Picks 1-32),1,7.5,4.1,5.8,62.449999999999996
